date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,atr_ratio,price_drawdown,recent_drawdown_min,param_source,executed_position,cash,units,holdings_value,portfolio_value,strategy_nav,benchmark_nav,daily_return,benchmark_return,excess_return,trade_flag,running_max,drawdown
2020-01-02,399001.SZ,10509.12,10663.56,10479.77,10638.82,393257468.0,none,0.0,持有,hold,0.0,1.175258034248183,0.0,-0.02424017783763499,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0,0.0,0.0,0.0,False,1.0,0.0
2020-01-03,399001.SZ,10666.66,10689.59,10594.36,10656.41,374182701.0,none,0.0,持有,hold,0.0,1.1217434343956278,0.0,-0.02424017783763499,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.001653378852166,0.0,0.0016533788521659876,-0.0016533788521659876,False,1.0,0.0
2020-01-06,399001.SZ,10599.41,10799.58,10577.78,10698.27,439641646.0,none,0.0,持有,hold,0.0,1.1558409699052774,0.0,-0.02424017783763499,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0055880257396967,0.0,0.003928152163815035,-0.003928152163815035,False,1.0,0.0
2020-01-07,399001.SZ,10725.18,10829.05,10723.86,10829.05,414499627.0,none,0.0,持有,hold,0.0,1.1124624881714247,0.0,-0.02424017783763499,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0178807424131624,0.0,0.012224406375983987,-0.012224406375983987,False,1.0,0.0
2020-01-08,399001.SZ,10776.71,10851.28,10681.03,10706.87,462506909.0,none,0.0,持有,hold,0.0,1.1511792250569193,-0.011282614818474257,-0.02424017783763499,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.006396386065372,0.0,-0.011282614818474257,0.011282614818474257,False,1.0,0.0
2020-01-09,399001.SZ,10807.04,10899.48,10807.04,10898.17,396591114.0,none,0.0,持有,hold,0.0,1.2210715769310163,0.0,-0.02424017783763499,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0243777035423103,0.0,0.017867033035798396,-0.017867033035798396,False,1.0,0.0
2020-01-10,399001.SZ,10927.98,10933.81,10833.52,10879.84,355689713.0,none,0.0,持有,hold,0.0,1.2066266717784082,-0.0016819337558507952,-0.02424017783763499,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0226547681039815,0.0,-0.0016819337558507952,0.0016819337558507952,False,1.0,0.0
2020-01-13,399001.SZ,10894.0,11040.2,10851.72,11040.2,345273662.0,none,0.0,持有,hold,0.0,1.194448842531158,0.0,-0.02424017783763499,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0377278683162232,0.0,0.014739187340990334,-0.014739187340990334,False,1.0,0.0
2020-01-14,399001.SZ,11074.89,11086.81,10983.42,10988.77,377298121.0,none,0.0,持有,hold,0.0,1.1717443160799559,-0.004658430100903943,-0.02424017783763499,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0328936855779118,0.0,-0.004658430100903943,0.004658430100903943,False,1.0,0.0
2020-01-15,399001.SZ,10978.28,11001.81,10882.79,10972.32,331233272.0,none,0.0,持有,hold,0.0,1.1863905225196314,-0.0061484393398670845,-0.02424017783763499,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0313474614665912,0.0,-0.0014969828288334819,0.0014969828288334819,False,1.0,0.0
2020-01-16,399001.SZ,10986.65,11008.21,10934.73,10967.44,317968373.0,none,0.0,持有,hold,0.0,1.177212746572755,-0.006590460317747904,-0.02424017783763499,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.030888763979464,0.0,-0.00044475553027978343,0.00044475553027978343,False,1.0,0.0
2020-01-17,399001.SZ,11001.68,11045.25,10927.84,10954.39,304820102.0,none,0.0,持有,hold,0.0,1.1525974480563586,-0.007772504121302259,-0.02424017783763499,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0296621241829451,0.0,-0.0011898856980299133,0.0011898856980299133,False,1.0,0.0
2020-01-20,399001.SZ,10981.51,11115.88,10936.8,11115.88,330625512.0,none,0.0,持有,hold,0.0,1.1214726400494892,0.0,-0.02424017783763499,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.044841439182165,0.0,0.014742034928462378,-0.014742034928462378,False,1.0,0.0
2020-01-21,399001.SZ,11077.66,11078.04,10948.58,10953.41,338540804.0,none,0.0,持有,hold,0.0,1.1670439824913537,-0.01461602680129681,-0.01461602680129681,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0295700087039727,0.0,-0.01461602680129681,0.01461602680129681,False,1.0,0.0
2020-01-22,399001.SZ,10896.56,11105.69,10761.68,11072.06,352090081.0,none,0.0,持有,hold,0.0,1.223530836100415,-0.003942108047226056,-0.01461602680129681,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0407225613366895,0.0,0.010832243109679895,-0.010832243109679895,False,1.0,0.0
2020-01-23,399001.SZ,10947.86,11026.0,10572.27,10681.9,402894259.0,none,0.0,持有,hold,0.0,1.433694928924563,-0.039041443412487276,-0.039041443412487276,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0040493212593127,0.0,-0.035238248347642664,0.035238248347642664,False,1.0,0.0
2020-02-03,399001.SZ,9706.58,9934.35,9706.58,9779.67,195449921.0,none,0.0,持有,hold,0.0,1.8102920603375037,-0.12020730702382532,-0.12020730702382532,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9192438635111789,0.0,-0.08446343815238855,0.08446343815238855,False,1.0,0.0
2020-02-04,399001.SZ,9578.87,10095.69,9578.87,10089.67,511560080.0,none,0.0,持有,hold,0.0,1.9655529276497143,-0.09231927656649763,-0.12020730702382532,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9483824333901693,0.0,0.03169841109158078,-0.03169841109158078,False,1.0,0.0
2020-02-05,399001.SZ,10159.55,10445.09,10148.24,10305.5,454671825.0,none,0.0,持有,hold,0.0,2.003874320764511,-0.07290291007099747,-0.12020730702382532,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9686694577030159,0.0,0.021391185241935506,-0.021391185241935506,False,1.0,0.0
2020-02-06,399001.SZ,10306.12,10633.17,10214.81,10601.34,481109434.0,none,0.0,持有,hold,0.0,2.0556048535602107,-0.04628873287584956,-0.12020730702382532,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9964770529062434,0.0,0.02870700111590896,-0.02870700111590896,False,1.0,0.0
2020-02-07,399001.SZ,10569.65,10629.15,10441.9,10611.55,489619557.0,none,0.0,持有,hold,0.0,2.0355510450340515,-0.04537022709852934,-0.12020730702382532,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9974367458045159,0.0,0.0009630857985876151,-0.0009630857985876151,False,1.0,0.0
2020-02-10,399001.SZ,10577.56,10730.05,10551.54,10728.46,470890837.0,none,0.0,持有,hold,0.0,1.971762953696399,-0.034852841160573855,-0.12020730702382532,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0084257464643636,0.0,0.011017240648161675,-0.011017240648161675,False,1.0,0.0
2020-02-11,399001.SZ,10749.97,10839.19,10678.11,10768.63,417815190.0,none,0.0,持有,hold,0.0,1.94061962085622,-0.031239092181635675,-0.12020730702382532,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0122015411483605,0.0,0.003744246611349533,-0.003744246611349533,False,1.0,0.0
2020-02-12,399001.SZ,10735.05,10944.63,10724.09,10940.8,420141761.0,none,0.0,持有,hold,0.0,1.9259281335168534,-0.015750439911190073,-0.12020730702382532,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0283847268776047,0.0,0.01598810619363844,-0.01598810619363844,False,1.0,0.0
