date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus,param_source,executed_position,cash,units,holdings_value,portfolio_value,strategy_nav,benchmark_nav,daily_return,benchmark_return,excess_return,trade_flag,running_max,drawdown
2020-01-02,399006.SZ,1811.22,1839.41,1797.54,1832.74,104308809.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1237007445576617,0.0,-0.036078640334809786,1.0,,-41.999989389681076,0.0,0.6001813291895524,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0,0.0,0.0,0.0,False,1.0,0.0
2020-01-03,399006.SZ,1836.86,1842.56,1821.67,1836.01,102278947.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.080986927316177,0.0,-0.036078640334809786,1.0,,-42.999989389681076,0.0,0.6001813291895524,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0017842138001025,0.0,0.0017842138001025187,-0.0017842138001025187,False,1.0,0.0
2020-01-06,399006.SZ,1825.55,1876.46,1824.35,1859.92,123882597.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.147939999869542,0.0,-0.036078640334809786,1.0,,-43.999989389681076,0.0,0.6001813291895524,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0148302541549812,0.0,0.013022804886683614,-0.013022804886683614,False,1.0,0.0
2020-01-07,399006.SZ,1866.26,1893.21,1866.26,1893.21,117716464.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1629244164310457,0.0,-0.036078640334809786,0.5,,-44.999989389681076,0.0,0.6001813291895524,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0329943145236096,0.0,0.017898619295453555,-0.017898619295453555,False,1.0,0.0
2020-01-08,399006.SZ,1881.01,1892.58,1858.28,1862.7,124252640.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.2107913508527912,-0.016115486396120815,-0.036078640334809786,0.5,,-45.999989389681076,0.0,0.6001813291895524,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.016347108700634,0.0,-0.016115486396120815,0.016115486396120815,False,1.0,0.0
2020-01-09,399006.SZ,1884.42,1913.78,1884.42,1913.14,111039941.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.3037636587377717,0.0,-0.036078640334809786,0.5,,-46.999989389681076,0.0,0.6001813291895524,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0438687429749993,0.0,0.027078971385622985,-0.027078971385622985,False,1.0,0.0
2020-01-10,399006.SZ,1917.61,1917.83,1894.67,1904.19,101909878.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.2891622079041447,-0.004678173055813972,-0.036078640334809786,0.5,,-47.999989389681076,0.0,0.6001813291895524,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0389853443478072,0.0,-0.004678173055813972,0.004678173055813972,False,1.0,0.0
2020-01-13,399006.SZ,1905.4,1935.07,1893.57,1935.07,97008284.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.290047742271694,0.0,-0.036078640334809786,0.5,,-48.999989389681076,0.0,0.6001813291895524,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0558344336894485,0.0,0.016216869114951793,-0.016216869114951793,False,1.0,0.0
2020-01-14,399006.SZ,1941.12,1945.77,1922.13,1922.56,104559052.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.2586043126277453,-0.006464882407354766,-0.036078640334809786,0.5,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0490085882340103,0.0,-0.006464882407354766,0.006464882407354766,False,1.0,0.0
2020-01-15,399006.SZ,1920.66,1928.69,1902.61,1924.24,96262132.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.262760824133139,-0.005596696760323927,-0.036078640334809786,0.5,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0499252485349804,0.0,0.0008738348868175816,-0.0008738348868175816,False,1.0,0.0
2020-01-16,399006.SZ,1924.52,1936.03,1917.56,1929.96,90789901.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.262570349072847,-0.002640731343052094,-0.036078640334809786,0.5,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.053046258607331,0.0,0.00297260217020745,-0.00297260217020745,False,1.0,0.0
2020-01-17,399006.SZ,1935.3,1949.04,1928.35,1932.51,87891982.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.20900414924661,-0.0013229495573803263,-0.036078640334809786,0.5,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0544376179927322,0.0,0.0013212709071690476,-0.0013212709071690476,False,1.0,0.0
2020-01-20,399006.SZ,1940.12,1982.18,1935.83,1982.18,96129782.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.2236408213932863,0.0,-0.036078640334809786,0.5,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0815391162958194,0.0,0.02570232495562763,-0.02570232495562763,False,1.0,0.0
2020-01-21,399006.SZ,1979.37,1987.66,1959.44,1967.03,97771047.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.2456814059219812,-0.007643100021188842,-0.018894106415337286,0.5,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0732728046531423,0.0,-0.007643100021188842,0.007643100021188842,False,1.0,0.0
2020-01-22,399006.SZ,1958.08,2004.39,1928.03,1993.9,104920752.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.3282320694380998,0.0,-0.018894106415337286,0.5,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.087933913157349,0.0,0.013660188202518686,-0.013660188202518686,False,1.0,0.0
2020-01-23,399006.SZ,1973.33,1996.55,1904.28,1927.74,115766356.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.5003097915120633,-0.033181202668137844,-0.033181202668137844,0.5,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.051834957495335,0.0,-0.033181202668137844,0.033181202668137844,False,1.0,0.0
2020-02-03,399006.SZ,1769.16,1830.81,1769.16,1795.77,55016176.0,none,0.0,无信号,hold,0.0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1.751687138558744,-0.0993680726214956,-0.0993680726214956,0.5,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9798280170673418,0.0,-0.06845840206666876,0.06845840206666876,False,1.0,0.0
2020-02-04,399006.SZ,1786.16,1886.8,1786.16,1882.69,137879858.0,none,0.0,无信号,hold,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.8904138775945027,-0.05577511409799896,-0.0993680726214956,0.5,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0272542750199156,0.0,0.048402635081330025,-0.048402635081330025,False,1.0,0.0
2020-02-05,399006.SZ,1908.97,1966.26,1901.8,1939.62,128392844.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1.9735453659231794,-0.027223030242238933,-0.0993680726214956,0.5,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0583170553379093,0.0,0.030238647892111725,-0.030238647892111725,False,1.0,0.0
